FULL NAME,TEAM,POS,Ortg,DRtg
Cheick Diallo,Pho,F,120.7,100.5
Hamidou Diallo,Okc,G,91.3,99.4
Gorgui Dieng,Min,C,112.3,101
Gorgui Dieng,Mem,C,111.5,99.7
Spencer Dinwiddie,Bro,G,110.9,104.5
Donte DiVincenzo,Mil,G,110.8,95.5
Luka Doncic,Dal,G,115.7,102.9
Luguentz Dort,Okc,G,106.6,101.3
Damyean Dotson,Nyk,G,110.4,112.5
Sekou Doumbouya,Det,F,90,104.3
PJ Dozier,Den,G,97.1,102
Goran Dragic,Mia,G,111.6,107.6
Andre Drummond,Det,C,104.1,97.3
Andre Drummond,Cle,C,94.4,101.9
Jared Dudley,Lal,F,117.7,98.3
Kris Dunn,Chi,G,104,98.9
Carsen Edwards,Bos,G,92,100.7
Henry Ellenson,Bro,F,0,0
Wayne Ellington,Nyk,G,106.3,110.5
Joel Embiid,Phi,C,113.4,96.1
James Ennis III,Phi,F,113.2,100.7
James Ennis III,Orl,F,105.9,107.3
Drew Eubanks,San,F,122.8,101
Jacob Evans,Gol,G,86.5,108.5
Jacob Evans,Min,G,0,0
Dante Exum,Uta,G,83.1,103.7
Dante Exum,Cle,G,112.3,111.2
Tacko Fall,Bos,C,98.5,78.3
Derrick Favors,Nor,F,124.9,103.3
Cristiano Felicio,Chi,F,128.3,106.7
Terrance Ferguson,Okc,G,100.7,102.3
Bruno Fernando,Atl,F,106.4,101.7
Yogi Ferrell,Sac,G,102.7,110.1
Dorian Finney-Smith,Dal,F,120.9,106.2
Bryn Forbes,San,G,109,111.4
Evan Fournier,Orl,G,112.2,105.9
De'Aaron Fox,Sac,G,109,105.5
Melvin Frazier Jr.,Orl,G,0,0
Michael Frazier,Hou,G,98.6,96.7
Tim Frazier,Det,G,99.4,104.5
Markelle Fultz,Orl,G,103.9,105.5
Wenyen Gabriel,Sac,F,86.7,102.7
Wenyen Gabriel,Por,F,93.7,96.1
Daniel Gafford,Chi,F,122.9,99.2
Danilo Gallinari,Okc,F,119.6,107.8
Langston Galloway,Det,G,116.9,111.8
Darius Garland,Cle,G,96,116
Marc Gasol,Tor,C,112.7,96.8
Rudy Gay,San,F,104.3,108.4
Paul George,Lac,F,109.6,100.1
Taj Gibson,Nyk,F,118.9,103.5
Harry Giles III,Sac,F,112.7,93.4
Shai Gilgeous-Alexander,Okc,G,110.9,106.8
Rudy Gobert,Uta,C,129.9,98.9
Brandon Goodwin,Atl,G,100.8,108.8
Aaron Gordon,Orl,F,106.7,105.6
Eric Gordon,Hou,G,103.4,109.2
Devonte' Graham,Cha,G,108.2,112.1
Treveon Graham,Min,G,96.4,107.3
Treveon Graham,Atl,G,97.3,105.2
Jerami Grant,Den,F,115.1,106.3
Josh Gray,Nor,G,47,115.9
Danny Green,Lal,G,110.9,101.4
Draymond Green,Gol,F,100.2,104.8
JaMychal Green,Lac,F,109.7,95
Javonte Green,Bos,G,110.3,99.7
Jeff Green,Uta,F,101.5,104.1
Jeff Green,Hou,F,134.8,103.9
Blake Griffin,Det,F,97.3,111.4
Marko Guduric,Mem,G,97.4,108.6
Kyle Guy,Sac,G,0,0
Rui Hachimura,Was,F,112.8,112
